State,datetime,value
ARKANSAS,2024-05-03,181244710.6938476
ARKANSAS,2024-05-10,181464904.3829416
ARKANSAS,2024-05-17,181211931.39360705
ARKANSAS,2024-05-24,181412000.00000003
ARKANSAS,2024-06-07,181311802.5370213
ARKANSAS,2024-06-14,178330463.78314924
ARKANSAS,2024-06-21,179676061.36165035
ARKANSAS,2024-06-28,178107244.2242049
ARKANSAS,2024-07-05,178114695.62610415
ARKANSAS,2024-07-12,178114695.62610415
ARKANSAS,2024-07-15,178293800.84897548
ARKANSAS,2024-07-19,177127851.64792594
ARKANSAS,2024-07-26,178702473.7499489
ARKANSAS,2024-08-02,178401124.79933697
ARKANSAS,2024-08-09,176049282.43999073
ARKANSAS,2024-08-16,175441713.12112436
ARKANSAS,2024-08-23,176195306.15420237
ARKANSAS,2024-08-30,166970777.77003312
