State,datetime,value
DELAWARE,2024-05-03,8005135.534692377
DELAWARE,2024-05-10,8016145.219147079
DELAWARE,2024-05-17,8003496.569680353
DELAWARE,2024-05-24,8013500.000000003
DELAWARE,2024-06-07,8008490.126851066
DELAWARE,2024-06-14,7878643.89740192
DELAWARE,2024-06-21,7936313.334970862
DELAWARE,2024-06-28,7867482.070775675
DELAWARE,2024-07-05,7867854.640870635
DELAWARE,2024-07-12,7867854.640870635
DELAWARE,2024-07-15,7876810.750693231
DELAWARE,2024-07-19,7823317.662639784
DELAWARE,2024-07-26,7902048.767740928
DELAWARE,2024-08-02,7886981.320210332
DELAWARE,2024-08-09,7778998.794920102
DELAWARE,2024-08-16,7753426.398333875
DELAWARE,2024-08-23,7791105.201308744
DELAWARE,2024-08-30,7016620.236504895
