State,datetime,value
GEORGIA,2024-05-03,7312965.71323084
GEORGIA,2024-05-10,7324330.548796983
GEORGIA,2024-05-17,7311273.878379717
GEORGIA,2024-05-24,7321600.000000002
GEORGIA,2024-06-07,7316428.51803981
GEORGIA,2024-06-14,7199673.404725142
GEORGIA,2024-06-21,7250563.484681084
GEORGIA,2024-06-28,7188151.519175467
GEORGIA,2024-07-05,7188536.545688475
GEORGIA,2024-07-12,7188536.545688475
GEORGIA,2024-07-15,7197781.124251655
GEORGIA,2024-07-19,7146882.721765853
GEORGIA,2024-07-26,7228153.539934778
GEORGIA,2024-08-02,7212600.045709647
GEORGIA,2024-08-09,7109774.313230583
GEORGIA,2024-08-16,7087696.393622911
GEORGIA,2024-08-23,7126591.079882922
GEORGIA,2024-08-30,7765688.140362079
