State,datetime,value
KENTUCKY,2024-05-03,117869769.63000084
KENTUCKY,2024-05-10,118008278.56346324
KENTUCKY,2024-05-17,117849150.3927528
KENTUCKY,2024-05-24,117975000.0
KENTUCKY,2024-06-07,117911972.56361017
KENTUCKY,2024-06-14,115966415.51697052
KENTUCKY,2024-06-21,116847945.54525538
KENTUCKY,2024-06-28,115826003.21376362
KENTUCKY,2024-07-05,115830690.38592608
KENTUCKY,2024-07-12,115830690.38592608
KENTUCKY,2024-07-15,115943353.3486999
KENTUCKY,2024-07-19,115192380.81745818
KENTUCKY,2024-07-26,116182868.91389196
KENTUCKY,2024-08-02,115993310.70302317
KENTUCKY,2024-08-09,114478820.24807768
KENTUCKY,2024-08-16,114079097.35191312
KENTUCKY,2024-08-23,114553131.67917186
KENTUCKY,2024-08-30,110959366.37184934
