State,datetime,value
LOUISIANA,2024-05-03,54079941.06384665
LOUISIANA,2024-05-10,54161625.8194783
LOUISIANA,2024-05-17,54067781.00085421
LOUISIANA,2024-05-24,54142000.0
LOUISIANA,2024-06-07,54104829.97341113
LOUISIANA,2024-06-14,53238050.97006665
LOUISIANA,2024-06-21,53617625.67848138
LOUISIANA,2024-06-28,53155237.41767837
LOUISIANA,2024-07-05,53158007.94406607
LOUISIANA,2024-07-12,53158007.94406607
LOUISIANA,2024-07-15,53224450.20416347
LOUISIANA,2024-07-19,52851719.955256514
LOUISIANA,2024-07-26,53435853.96084566
LOUISIANA,2024-08-02,53324063.221102536
LOUISIANA,2024-08-09,52571204.15850333
LOUISIANA,2024-08-16,52405617.98195748
LOUISIANA,2024-08-23,52685173.53945131
LOUISIANA,2024-08-30,54780570.28199084
