State,datetime,value
MARYLAND,2024-05-03,23699146.247000203
MARYLAND,2024-05-10,23731464.99814141
MARYLAND,2024-05-17,23694335.091642328
MARYLAND,2024-05-24,23723700.000000004
MARYLAND,2024-06-07,23708993.59817571
MARYLAND,2024-06-14,23324191.87142616
MARYLAND,2024-06-21,23495300.70357609
MARYLAND,2024-06-28,23291426.50939427
MARYLAND,2024-07-05,23292520.182898834
MARYLAND,2024-07-12,23292520.182898834
MARYLAND,2024-07-15,23318810.69882968
MARYLAND,2024-07-19,23160873.28312306
MARYLAND,2024-07-26,23391987.172290944
MARYLAND,2024-08-02,23347756.92308823
MARYLAND,2024-08-09,23028954.83343386
MARYLAND,2024-08-16,22952978.157195546
MARYLAND,2024-08-23,23063583.67560564
MARYLAND,2024-08-30,23529586.433028337
