State,datetime,value
MINNESOTA,2024-05-03,397245267.8076955
MINNESOTA,2024-05-10,397777994.4748585
MINNESOTA,2024-05-17,397165963.04904914
MINNESOTA,2024-05-24,397650000.0
MINNESOTA,2024-06-07,397407586.783116
MINNESOTA,2024-06-14,390944694.1060704
MINNESOTA,2024-06-21,393825165.4934887
MINNESOTA,2024-06-28,390404605.7209293
MINNESOTA,2024-07-05,390422633.3061694
MINNESOTA,2024-07-12,390422633.3061694
MINNESOTA,2024-07-15,390855993.4588756
MINNESOTA,2024-07-19,388222651.93016905
MINNESOTA,2024-07-26,392032221.5318373
MINNESOTA,2024-08-02,391303110.42491984
MINNESOTA,2024-08-09,385988175.8580373
MINNESOTA,2024-08-16,384705753.3991287
MINNESOTA,2024-08-23,386528962.3501238
MINNESOTA,2024-08-30,383767846.44406354
