State,datetime,value
MISSOURI,2024-05-03,300636214.24615645
MISSOURI,2024-05-10,301062395.5798869
MISSOURI,2024-05-17,300572770.4392394
MISSOURI,2024-05-24,300960000.00000006
MISSOURI,2024-06-07,300766069.4264928
MISSOURI,2024-06-14,295907757.2441487
MISSOURI,2024-06-21,298056119.7712955
MISSOURI,2024-06-28,295475686.5360359
MISSOURI,2024-07-05,295490108.60422784
MISSOURI,2024-07-12,295490108.60422784
MISSOURI,2024-07-15,295836796.7263929
MISSOURI,2024-07-19,293808114.3687758
MISSOURI,2024-07-26,296855770.0501105
MISSOURI,2024-08-02,296272514.01666814
MISSOURI,2024-08-09,292176548.0938585
MISSOURI,2024-08-16,291228633.8441713
MISSOURI,2024-08-23,292687168.1528759
MISSOURI,2024-08-30,287138341.477573
