State,datetime,value
NEBRASKA,2024-05-03,313950989.2507715
NEBRASKA,2024-05-10,314327449.4289
NEBRASKA,2024-05-17,313894947.2213281
NEBRASKA,2024-05-24,314237000.0
NEBRASKA,2024-06-07,314065694.66006863
NEBRASKA,2024-06-14,308894384.5052262
NEBRASKA,2024-06-21,311232009.0268828
NEBRASKA,2024-06-28,308512722.0463933
NEBRASKA,2024-07-05,308525461.5399628
NEBRASKA,2024-07-12,308525461.5399628
NEBRASKA,2024-07-15,308831702.7145419
NEBRASKA,2024-07-19,306819733.31096786
NEBRASKA,2024-07-26,309511829.1628135
NEBRASKA,2024-08-02,308996619.66660607
NEBRASKA,2024-08-09,304938612.14544725
NEBRASKA,2024-08-16,303881350.2565587
NEBRASKA,2024-08-23,305169722.2292478
NEBRASKA,2024-08-30,280319729.44791234
