State,datetime,value
NEW YORK,2024-05-03,20001112.497692466
NEW YORK,2024-05-10,20025973.075493403
NEW YORK,2024-05-17,19997411.60895564
NEW YORK,2024-05-24,20020000.000000004
NEW YORK,2024-06-07,20008687.38321208
NEW YORK,2024-06-14,19680485.115668014
NEW YORK,2024-06-21,19828208.65185016
NEW YORK,2024-06-28,19655280.991028104
NEW YORK,2024-07-05,19656124.19471132
NEW YORK,2024-07-12,19656124.19471132
NEW YORK,2024-07-15,19676345.752132263
NEW YORK,2024-07-19,19546806.66992732
NEW YORK,2024-07-26,19724586.58467184
NEW YORK,2024-08-02,19690563.316054363
NEW YORK,2024-08-09,19429231.498163894
NEW YORK,2024-08-16,19362735.30588285
NEW YORK,2024-08-23,19447818.390262622
NEW YORK,2024-08-30,18959731.361827888
