State,datetime,value
NORTH CAROLINA,2024-05-03,70877458.91769302
NORTH CAROLINA,2024-05-10,70994658.78446887
NORTH CAROLINA,2024-05-17,70860011.87079082
NORTH CAROLINA,2024-05-24,70966500.0
NORTH CAROLINA,2024-06-07,70913169.09228551
NORTH CAROLINA,2024-06-14,69791630.07199185
NORTH CAROLINA,2024-06-21,70275187.80994081
NORTH CAROLINA,2024-06-28,69672815.14442341
NORTH CAROLINA,2024-07-05,69676781.21317622
NORTH CAROLINA,2024-07-12,69676781.21317622
NORTH CAROLINA,2024-07-15,69772115.92960902
NORTH CAROLINA,2024-07-19,69267856.0355164
NORTH CAROLINA,2024-07-26,70105961.34788343
NORTH CAROLINA,2024-08-02,69945561.42152417
NORTH CAROLINA,2024-08-09,68926421.7840931
NORTH CAROLINA,2024-08-16,68719368.6025186
NORTH CAROLINA,2024-08-23,69120470.05457495
NORTH CAROLINA,2024-08-30,63882175.310775444
