State,datetime,value
OHIO,2024-05-03,316530178.53846365
OHIO,2024-05-10,316885329.6499057
OHIO,2024-05-17,316477308.6993661
OHIO,2024-05-24,316800000.0
OHIO,2024-06-07,316638391.188744
OHIO,2024-06-14,311389781.7441039
OHIO,2024-06-21,313780099.92554283
OHIO,2024-06-28,311029750.1974195
OHIO,2024-07-05,311041768.58757955
OHIO,2024-07-12,311041768.58757955
OHIO,2024-07-15,311330647.9793074
OHIO,2024-07-19,309340084.9985897
OHIO,2024-07-26,311879798.0663686
OHIO,2024-08-02,311393751.37183326
OHIO,2024-08-09,307380457.73741823
OHIO,2024-08-16,306290507.4698992
OHIO,2024-08-23,307505980.1038959
OHIO,2024-08-30,291544161.20996284
