State,datetime,value
OKLAHOMA,2024-05-03,14732319.639231004
OKLAHOMA,2024-05-10,14771386.26148962
OKLAHOMA,2024-05-17,14726503.956930269
OKLAHOMA,2024-05-24,14762000.0
OKLAHOMA,2024-06-07,14744223.030761838
OKLAHOMA,2024-06-14,14532076.432033429
OKLAHOMA,2024-06-21,14612412.662951138
OKLAHOMA,2024-06-28,14492471.456177289
OKLAHOMA,2024-07-05,14493793.479094887
OKLAHOMA,2024-07-12,14493793.479094887
OKLAHOMA,2024-07-15,14525571.71790582
OKLAHOMA,2024-07-19,14397909.174547156
OKLAHOMA,2024-07-26,14677279.117723696
OKLAHOMA,2024-08-02,14623812.47560395
OKLAHOMA,2024-08-09,14364948.94485887
OKLAHOMA,2024-08-16,14336356.81139378
OKLAHOMA,2024-08-23,14470057.295412565
OKLAHOMA,2024-08-30,9024611.600845281
