State,datetime,value
SOUTH CAROLINA,2024-05-03,14226112.497692458
SOUTH CAROLINA,2024-05-10,14250973.0754934
SOUTH CAROLINA,2024-05-17,14222411.608955627
SOUTH CAROLINA,2024-05-24,14245000.0
SOUTH CAROLINA,2024-06-07,14233687.383212082
SOUTH CAROLINA,2024-06-14,14010485.553925429
SOUTH CAROLINA,2024-06-21,14105708.162595784
SOUTH CAROLINA,2024-06-28,13985281.429285515
SOUTH CAROLINA,2024-07-05,13986123.67478272
SOUTH CAROLINA,2024-07-12,13986123.67478272
SOUTH CAROLINA,2024-07-15,14006346.190389676
SOUTH CAROLINA,2024-07-19,13903056.613754615
SOUTH CAROLINA,2024-07-26,14080836.52849914
SOUTH CAROLINA,2024-08-02,14046812.301695663
SOUTH CAROLINA,2024-08-09,13837981.411316982
SOUTH CAROLINA,2024-08-16,13797735.682791833
SOUTH CAROLINA,2024-08-23,13882817.808985602
SOUTH CAROLINA,2024-08-30,15003501.427167043
