State,datetime,value
SOUTH DAKOTA,2024-05-03,246823385.68000224
SOUTH DAKOTA,2024-05-10,247192742.83590195
SOUTH DAKOTA,2024-05-17,246768401.04734084
SOUTH DAKOTA,2024-05-24,247104000.00000003
SOUTH DAKOTA,2024-06-07,246935926.83629376
SOUTH DAKOTA,2024-06-14,242974975.8480534
SOUTH DAKOTA,2024-06-21,244712126.55508456
SOUTH DAKOTA,2024-06-28,242600514.56768897
SOUTH DAKOTA,2024-07-05,242613042.1652681
SOUTH DAKOTA,2024-07-12,242613042.1652681
SOUTH DAKOTA,2024-07-15,242913476.7326651
SOUTH DAKOTA,2024-07-19,241217695.5694577
SOUTH DAKOTA,2024-07-26,243858997.1599477
SOUTH DAKOTA,2024-08-02,243353508.597631
SOUTH DAKOTA,2024-08-09,239928463.4195048
SOUTH DAKOTA,2024-08-16,239169347.9498366
SOUTH DAKOTA,2024-08-23,240433411.01738065
SOUTH DAKOTA,2024-08-30,227627520.63305482
