State,datetime,value
TEXAS,2024-05-03,3514603.570769274
TEXAS,2024-05-10,3521706.592998113
TEXAS,2024-05-17,3513546.173987323
TEXAS,2024-05-24,3520000.0
TEXAS,2024-06-07,3516767.8237748803
TEXAS,2024-06-14,3462995.9142889227
TEXAS,2024-06-21,3485202.28557457
TEXAS,2024-06-28,3455794.735820377
TEXAS,2024-07-05,3456035.1036235774
TEXAS,2024-07-12,3456035.1036235774
TEXAS,2024-07-15,3461813.238992994
TEXAS,2024-07-19,3434801.701782776
TEXAS,2024-07-26,3485595.963138354
TEXAS,2024-08-02,3475875.029247647
TEXAS,2024-08-09,3421208.8751350497
TEXAS,2024-08-16,3412210.4134910936
TEXAS,2024-08-23,3436519.318636169
TEXAS,2024-08-30,2961251.669107017
