State,datetime,value
VIRGINIA,2024-05-03,26715802.49584642
VIRGINIA,2024-05-10,26760551.53588812
VIRGINIA,2024-05-17,26709140.896120127
VIRGINIA,2024-05-24,26749800.0
VIRGINIA,2024-06-07,26729437.28978174
VIRGINIA,2024-06-14,26307512.809090063
VIRGINIA,2024-06-21,26488994.57964108
VIRGINIA,2024-06-28,26262147.109473035
VIRGINIA,2024-07-05,26263661.4266332
VIRGINIA,2024-07-12,26263661.4266332
VIRGINIA,2024-07-15,26300063.67946052
VIRGINIA,2024-07-19,26109101.04167783
VIRGINIA,2024-07-26,26429104.88821797
VIRGINIA,2024-08-02,26367863.004706524
VIRGINIA,2024-08-09,25981886.32708053
VIRGINIA,2024-08-16,25904404.340630483
VIRGINIA,2024-08-23,26057552.167779274
VIRGINIA,2024-08-30,27488136.355017953
