State,AREA1,date,TAVG_x,TAVG_NORYR,TMAX,TMAX_NORYR,TMIN,TMIN_NORYR,PRCP_x,PRCP_NORYR,WEEK_NO,DATE,MAX,MIN,PRCP_y,TAVG_y
WISCONSIN,WI,2025-05-05,11.0,12.333333015441895,18.399999618530273,19.399999618530273,4.4666666984558105,6.099999904632568,15.5,22.0,19,2024-05-12,21.83206034231,6.97104155833448,19.325246696426007,14.401550950322235
WISCONSIN,WI,2025-05-12,14.733333587646484,13.533333778381348,22.16666603088379,20.700000762939453,7.800000190734863,7.0,20.733333587646484,23.066667556762695,20,2024-05-19,23.640477603157187,8.473136639842506,9.1411279887955,16.056807121499848
WISCONSIN,WI,2025-05-19,15.5,15.066666603088379,22.633333206176758,22.200000762939453,8.699999809265137,8.333333015441895,21.266666412353516,22.33333396911621,21,2024-05-26,22.528827621961685,10.923396067650714,49.28031287004606,16.7261118448062
WISCONSIN,WI,2025-05-26,17.133333206176758,16.53333282470703,24.266666412353516,23.53333282470703,10.399999618530273,9.966666221618652,24.0,24.866666793823242,22,2024-06-02,22.02577553408131,9.668930803855336,30.52220193402956,15.847353168968324
WISCONSIN,WI,2025-06-02,18.53333282470703,17.733333587646484,25.5,24.566667556762695,11.933333396911621,11.199999809265137,27.633333206176758,27.5,23,2024-06-09,24.09853630194388,13.239601236898409,34.35247778422629,18.66906876942114
WISCONSIN,WI,2025-06-09,20.33333396911621,19.133333206176758,27.200000762939453,25.83333396911621,13.866666793823242,12.766666412353516,32.06666564941406,29.733333587646484,24,2024-06-16,25.86212274835634,11.483372596674668,18.57911850608537,18.672747672515506
WISCONSIN,WI,2025-06-16,21.433332443237305,20.433332443237305,28.133333206176758,26.96666717529297,15.066666603088379,14.100000381469727,27.5,29.33333396911621,25,2024-06-23,26.69947466817415,17.087289829512052,55.27633355564448,21.8933822488431
WISCONSIN,WI,2025-06-23,23.366666793823242,21.200000762939453,30.0,27.66666603088379,17.0,15.0,23.933332443237305,25.433332443237305,26,2024-06-30,25.929556077171014,14.445947013314283,29.717843453468625,20.18775154524265
WISCONSIN,WI,2025-06-30,23.233333587646484,21.733333587646484,29.933332443237305,28.133333206176758,16.899999618530273,15.5,23.799999237060547,26.200000762939453,27,2024-07-07,25.37638410941442,14.058902532027998,38.845635245764754,19.71764332072121
WISCONSIN,WI,2025-07-07,23.399999618530273,22.16666603088379,30.03333282470703,28.5,16.899999618530273,15.866666793823242,28.433332443237305,34.29999923706055,28,2024-07-14,28.55591615804201,16.48636325751672,28.94793492646476,22.52113970777936
