State,datetime,value
WISCONSIN,2024-05-03,116041278.55692405
WISCONSIN,2024-05-10,116197545.04595852
WISCONSIN,2024-05-17,116018015.82772107
WISCONSIN,2024-05-24,116160000.0
WISCONSIN,2024-06-07,116088892.12304737
WISCONSIN,2024-06-14,114201904.7667913
WISCONSIN,2024-06-21,115042446.33551449
WISCONSIN,2024-06-28,114043490.8862502
WISCONSIN,2024-07-05,114048778.9779206
WISCONSIN,2024-07-12,114048778.9779206
WISCONSIN,2024-07-15,114175885.91028088
WISCONSIN,2024-07-19,113405643.43720348
WISCONSIN,2024-07-26,114523117.18702622
WISCONSIN,2024-08-02,114309256.64143068
WISCONSIN,2024-08-09,112754593.82763112
WISCONSIN,2024-08-16,112380620.94836116
WISCONSIN,2024-08-23,112915428.90731975
WISCONSIN,2024-08-30,119029417.77910706
