ダウンロードした時刻：2023/11/07 10:30:43

,標茶,標茶,標茶,標茶,標茶,標茶,標茶,標茶,標茶
年月日時,降水量(mm),降水量(mm),降水量(mm),日射量(MJ/㎡),日射量(MJ/㎡),日射量(MJ/㎡),積雪(cm),積雪(cm),積雪(cm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/1/1 1:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 2:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 3:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 4:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 5:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 6:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 7:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 8:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 9:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 10:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 11:00:00,0.0,8,1,,0,1,1,8,1
2020/1/1 12:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 13:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 14:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 15:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 16:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 17:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 18:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 19:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 20:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 21:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 22:00:00,0.0,8,1,,0,1,0,8,1
2020/1/1 23:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 00:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 1:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 2:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 3:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 4:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 5:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 6:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 7:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 8:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 9:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 10:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 11:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 12:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 13:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 14:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 15:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 16:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 17:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 18:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 19:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 20:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 21:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 22:00:00,0.0,8,1,,0,1,0,8,1
2020/1/2 23:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 00:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 1:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 2:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 3:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 4:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 5:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 6:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 7:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 8:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 9:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 10:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 11:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 12:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 13:00:00,0.0,8,1,,0,1,0,8,1
2020/1/3 14:00:00,0.0,8,1,,0,1,0,8,1
