,State,Value
0,CONNECTICUT,
1,DISTRICT OF COLUMBIA,
2,DELAWARE,155000.0
3,FLORIDA,
4,ALABAMA,360000.0
6,GEORGIA,170000.0
7,COLORADO,
8,IDAHO,
9,IOWA,10050000.0
10,KANSAS,4530000.0
11,KENTUCKY,2050000.0
12,LOUISIANA,1100000.0
13,MAINE,
14,ARKANSAS,3050000.0
15,NEVADA,
16,ILLINOIS,10800000.0
17,INDIANA,5800000.0
18,ARIZONA,
19,CALIFORNIA,
21,MICHIGAN,2190000.0
22,MINNESOTA,7400000.0
23,MONTANA,
24,MARYLAND,495000.0
25,MISSOURI,5900000.0
26,MISSISSIPPI,2300000.0
27,MASSACHUSETTS,
28,NEBRASKA,5300000.0
29,NORTH CAROLINA,1630000.0
30,NORTH DAKOTA,6650000.0
31,NEW JERSEY,105000.0
32,NEW MEXICO,
33,NEW HAMPSHIRE,
34,NEW YORK,370000.0
35,OHIO,5050000.0
36,OKLAHOMA,505000.0
37,OREGON,
38,PENNSYLVANIA,610000.0
39,RHODE ISLAND,
40,SOUTH CAROLINA,390000.0
41,SOUTH DAKOTA,5450000.0
42,TENNESSEE,1830000.0
43,TEXAS,100000.0
44,UTAH,
45,VIRGINIA,610000.0
46,VERMONT,
47,WISCONSIN,2150000.0
48,WASHINGTON,
49,WEST VIRGINIA,
50,WYOMING,
