State,2020,2021,2022,2023,2024,2025
ALABAMA,282500.0,308000.0,355000.0,370000.0,350000.0,310000.0
ARKANSAS,2872500.0,3048000.0,3202500.0,2977500.0,3060000.0,3000000.0
DELAWARE,148750.0,158000.0,157500.0,150000.0,155000.0,160000.0
GEORGIA,95000.0,132000.0,157500.0,165000.0,166000.0,170000.0
ILLINOIS,10375000.0,10640000.0,10950000.0,10375000.0,10720000.0,10500000.0
INDIANA,5637500.0,5710000.0,5862500.0,5525000.0,5780000.0,5700000.0
IOWA,9387500.0,10000000.0,10225000.0,9925000.0,10050000.0,9600000.0
KANSAS,4975000.0,4770000.0,5025000.0,4432500.0,4478000.0,4300000.0
KENTUCKY,1837500.0,1870000.0,1987500.0,1857500.0,2030000.0,1850000.0
LOUISIANA,1045000.0,1088000.0,1217500.0,1087500.0,1124000.0,1050000.0
MARYLAND,466250.0,488000.0,505000.0,490000.0,484000.0,510000.0
MICHIGAN,2225000.0,2200000.0,2275000.0,2052500.0,2206000.0,2150000.0
MINNESOTA,7412500.0,7710000.0,7600000.0,7437500.0,7460000.0,7000000.0
MISSISSIPPI,2007500.0,2226000.0,2317500.0,2252500.0,2280000.0,2250000.0
MISSOURI,5775000.0,5760000.0,6050000.0,5700000.0,5860000.0,5700000.0
NEBRASKA,5125000.0,5540000.0,5700000.0,5437500.0,5300000.0,5000000.0
NEW JERSEY,87250.0,101000.0,110000.0,105000.0,107000.0,95000.0
NEW YORK,301250.0,327000.0,337500.0,353750.0,361000.0,380000.0
NORTH CAROLINA,1570000.0,1640000.0,1750000.0,1672500.0,1618000.0,1700000.0
NORTH DAKOTA,6025000.0,7210000.0,6075000.0,6150000.0,6720000.0,6200000.0
OHIO,4862500.0,4900000.0,5062500.0,4875000.0,5000000.0,5100000.0
OKLAHOMA,555000.0,570000.0,538750.0,500000.0,505000.0,400000.0
PENNSYLVANIA,622500.0,608000.0,590000.0,587500.0,604000.0,590000.0
SOUTH CAROLINA,327500.0,391000.0,400000.0,415000.0,380000.0,380000.0
SOUTH DAKOTA,5125000.0,5530000.0,5350000.0,5200000.0,5330000.0,5100000.0
TENNESSEE,1600000.0,1580000.0,1737500.0,1600000.0,1766000.0,1750000.0
TEXAS,122500.0,113000.0,140000.0,128750.0,100000.0,110000.0
VIRGINIA,577500.0,596000.0,650000.0,577500.0,618000.0,540000.0
WISCONSIN,2005000.0,2150000.0,2217500.0,2152500.0,2160000.0,1900000.0
