no,State,2025-04-24,2025-04-25,2025-05-02,2025-05-09,2025-05-16,2025-05-23,2025-05-30,2025-06-06
,ALABAMA,10389504.944294795,10393893.463568237,10446813.69327522,10339707.853424842,10339707.853424842,10309124.007155828,10234578.587039525,10326903.83287206
,ARKANSAS,173551604.1708895,173594065.49922252,174106196.75445136,172367696.92152712,172367696.92152712,172422707.7488336,171350316.9242499,172243778.832187
,DELAWARE,7192724.968347615,7194990.44858115,7222304.115526689,7149423.283512663,7149423.283512663,7142438.052792597,7095163.455019098,7142814.756775743
,GEORGIA,7571550.64907491,7573957.256418412,7602978.027548046,7526222.565102705,7526222.565102705,7518460.546677854,7468571.031923661,7519200.540040097
,ILLINOIS,724740234.6924827,723458009.3461232,722875796.3665878,723162159.8356375,723162159.8356375,726619103.2995924,723737128.9289855,723364471.2284473
,INDIANA,364130447.3940029,364211123.9178356,365184173.3027704,361550421.52467865,361550421.52467865,361820258.7490723,359617399.52985185,361314977.1549324
,IOWA,633146060.689197,633197257.388674,629750573.6329112,632690862.1086304,632690862.1086304,633151106.7704595,622751553.7949492,622370679.7863135
,KANSAS,170050087.53664944,170110972.3179257,170845015.34508756,169109952.1147073,169109952.1147073,168810425.3601069,167651707.4519432,168932347.95865256
,KENTUCKY,98173082.3895302,98199277.00473043,98515091.27878822,97528103.29894206,97528103.29894206,97519493.31328076,96900729.09668264,97451697.27324389
,LOUISIANA,56375061.32898536,56389922.79390191,56569168.733232014,56002691.08424834,56002691.08424834,56000949.10209371,55646608.08520131,55959319.75297929
,MARYLAND,24093692.407392528,24100910.83320913,24187973.14659804,23944448.312152818,23944448.312152818,23927791.48043286,23771493.71261569,23923382.236964997
,MICHIGAN,112751445.77595805,112781888.16659616,113148903.79417735,112014777.59291358,112014777.59291358,111998308.56565034,111285655.26153156,111925969.62888648
,MINNESOTA,346713741.3210627,346812817.7538396,348007790.682707,344511293.30052143,344511293.30052143,344359669.9473044,342137406.6402078,344222151.09206116
,MISSISSIPPI,134375702.63834402,134407548.63459378,134791647.0760154,133447265.57243666,133447265.57243666,133508789.32689364,132684230.57447872,133354327.00543156
,MISSOURI,295365648.4553772,295446324.9792099,296419374.3641447,293446795.56763744,293446795.56763744,293386061.9059823,291513804.7822977,293211382.4073782
,NEBRASKA,306412662.4969925,306483458.7542905,307337010.8463386,304274484.11822736,304274484.11822736,304448682.3336902,302578850.7894319,304067953.96932715
,NEW JERSEY,3855720.671599081,3857065.540408685,3873283.030157599,3834000.169059141,3834000.169059141,3827857.621864166,3801783.135812028,3830076.3563090945
,NEW YORK,21034721.91819193,21040102.43374658,21104972.392742235,20893879.745367058,20893879.745367058,20896291.198394064,20765013.693011075,20878185.53468311
,NORTH CAROLINA,66168302.9469685,66192373.67444982,66482581.38574617,65806823.17058151,65806823.17058151,65683304.781688616,65230307.838791065,65736607.57400174
,NORTH DAKOTA,243254104.1914733,243341874.5769421,244400279.17108184,241917163.13909656,241917163.13909656,241475985.8312052,239814577.81139025,241661065.75446033
,OHIO,285490500.27650005,285562712.458944,286433335.59283304,283569672.9780579,283569672.9780579,283617311.79601985,281840126.98268664,283359012.2261797
,OKLAHOMA,10161012.843670096,10166675.449184213,10234959.61654806,10127958.164218592,10127958.164218592,10072895.868635343,9992308.592984676,10111436.847376293
,PENNSYLVANIA,27136774.14677368,27145128.10513484,27245847.25199652,26971198.75666457,26971198.75666457,26948390.12441052,26771114.023866717,26946829.81432218
,SOUTH CAROLINA,14474402.449925158,14479781.925163573,14544651.884159228,14396640.892175987,14396640.892175987,14367510.997348908,14267772.759187534,14380944.60085957
,SOUTH DAKOTA,244119314.3957441,244191526.578188,245062149.71207705,242596268.43485567,242596268.43485567,242445030.5461796,240866722.4394844,242385607.68297747
,TENNESSEE,83766431.41030434,83791210.10035862,84089953.33257546,83243817.60019557,83243817.60019557,83191922.2462381,82650345.93511719,83171532.0480805
,TEXAS,4350118.518379404,4351676.03603996,4370453.880920844,4326068.542469257,4326068.542469257,4318406.230142268,4288764.609235756,4321525.180337624
,VIRGINIA,24612407.22176872,24620053.217556905,24712235.36515398,24463023.50513992,24463023.50513992,24441068.61661512,24279896.58397413,24440719.727402814
,WISCONSIN,102012015.738164,102038907.91277488,102363257.70775317,101338202.91435416,101338202.91435416,101335050.75616956,100693862.2494119,101259721.45777206
