State,2020,2021,2022,2023,2024,2025
ALABAMA,39.8,44.4,42.4,42.6,32.0,33.353896301370455
ARKANSAS,49.7,50.2,52.8,53.2,55.4,57.45589897384237
DELAWARE,47.6,49.8,43.6,47.0,43.0,44.68389552195414
GEORGIA,40.0,43.8,44.0,41.6,42.6,44.27189744178062
ILLINOIS,60.8,64.2,64.2,61.6,65.4,68.8725866510131
INDIANA,59.6,59.4,59.1,60.6,61.2,63.42989851310151
IOWA,55.2,60.2,58.5,58.0,61.8,65.90529813631566
KANSAS,43.4,40.8,31.1,28.4,37.8,39.3278958406296
KENTUCKY,54.8,55.2,52.2,55.0,50.8,52.71789367510382
LOUISIANA,55.0,53.2,48.0,42.8,51.4,53.33589627071271
MARYLAND,47.6,51.8,45.8,47.4,45.2,46.94989865128004
MICHIGAN,48.6,49.8,46.6,46.8,50.2,52.099896554843525
MINNESOTA,51.2,47.0,50.0,48.2,47.4,49.21589904293163
MISSISSIPPI,53.8,54.6,55.2,56.6,57.2,59.30989580997185
MISSOURI,50.8,50.0,46.9,45.6,49.6,51.48189395923464
NEBRASKA,59.6,61.0,51.0,53.9,58.7,60.85489682364547
NEW JERSEY,41.2,42.6,30.8,43.4,38.8,40.35789651641201
NEW YORK,50.0,53.2,49.4,52.0,53.0,54.98389406675542
NORTH CAROLINA,38.0,39.4,37.7,39.1,37.2,38.709895982695
NORTH DAKOTA,34.6,25.3,35.0,33.7,37.5,39.018897280499445
OHIO,55.8,57.4,55.7,57.6,53.6,55.601896662364304
OKLAHOMA,29.8,26.8,17.0,24.4,24.2,25.31989541054648
PENNSYLVANIA,48.0,52.4,45.2,47.4,44.0,45.71389619773656
SOUTH CAROLINA,33.0,34.6,37.0,37.0,36.4,37.88589708467365
SOUTH DAKOTA,47.8,39.6,40.2,43.2,45.8,47.56789577154033
TENNESSEE,49.2,49.2,46.0,50.8,45.8,47.56789577154033
TEXAS,36.8,36.4,28.4,32.0,37.8,39.3278958406296
VIRGINIA,40.0,44.2,43.4,38.6,43.6,45.301895379888734
WISCONSIN,53.6,52.2,53.4,48.0,51.4,53.33589627071271
